isotopeLabel,compound,formula,M,H,L,N,I,G,E,F,J,K,C,A,B,D
C13-label-3,TG(16:0_18:0_20:0),C57H113O6N,908672.19,1028924.75,864099,982182.31,1070639.12,NA,951740.06,1044183.5,794830.69,987330,NA,1107429.5,1047104.75,1147219.62
C13-label-34,TG(16:0_18:0_20:0),C57H113O6N,0,0,0,0,0,NA,0,5622.51,0,0,NA,0,0,0
C13-label-4,TG(16:0_18:0_20:0),C57H113O6N,135886.17,170709,153339.52,211558.14,198411.58,NA,170756.92,220979.64,153420.39,110882.15,NA,200254.89,148693.27,207423.98
C13-label-46,TG(16:0_18:0_20:0),C57H113O6N,0,0,0,0,0,NA,0,5272.68,0,0,NA,0,0,0
C13-label-5,TG(16:0_18:0_20:0),C57H113O6N,17422.92,25316.97,6195.33,51981.19,30511.42,NA,9782.98,39874.08,18187.12,21255.11,NA,31657.36,25999.98,44809.98
C13-label-7,TG(16:0_18:0_20:0),C57H113O6N,0,0,0,9082.65,0,NA,0,7341.21,0,0,NA,8316.45,0,0
C12 PARENT,TG(16:0_18:1_18:1),C55H105O6N,4221999360,6078171648,3005954816,4012950784,3365249792,NA,1875268736,5462230528,2910205696,3695665408,NA,4047801344,3960877056,3912226048
C13-label-1,TG(16:0_18:1_18:1),C55H105O6N,2638359296,3797299456,1852672128,2511494144,2120473088,NA,1203880192,3426925312,1829088256,2380752128,NA,2585224448,2557529344,2732100352
C13-label-10,TG(16:0_18:1_18:1),C55H105O6N,0,0,0,0,0,NA,0,0,0,0,NA,190168.38,0,321126.09
C13-label-2,TG(16:0_18:1_18:1),C55H105O6N,913077568,1313619968,698720768,985324864,783716544,NA,448905056,1283997056,674564544,897808064,NA,997186816,1039386112,1035899392
C13-label-3,TG(16:0_18:1_18:1),C55H105O6N,197689936,303989376,176402576,263539792,182891056,NA,107849272,334745920,173719696,237987072,NA,260557248,304971872,271184352
C13-label-4,TG(16:0_18:1_18:1),C55H105O6N,47761908,67740880,48263316,75750280,51855888,NA,27098318,89785864,43935316,62883276,NA,73102552,106440736,73274464
C13-label-5,TG(16:0_18:1_18:1),C55H105O6N,11112835,19954852,13641081,24825894,14766651,NA,6827739.5,25500440,11297793,18266566,NA,20212208,31860726,20553096
C13-label-6,TG(16:0_18:1_18:1),C55H105O6N,5079696,6105246.5,5060308.5,8734913,5418904,NA,3167402,10549873,3699109.25,8054364,NA,7918838,15530363,8004845.5
C13-label-7,TG(16:0_18:1_18:1),C55H105O6N,1302981.88,2246316.25,1185351.62,3142520.75,1365566.38,NA,1162856.88,3773982.25,1882829.88,2239877,NA,3298025.25,5030722,3025827
C13-label-8,TG(16:0_18:1_18:1),C55H105O6N,576336.25,657896.56,214925.92,352417.34,327860.72,NA,338964.53,1481613.38,417282.34,593088.69,NA,1238646,2711701,1342231.12
C13-label-9,TG(16:0_18:1_18:1),C55H105O6N,0,325327,219193.38,278427.72,0,NA,62802.14,310031.97,97457.88,261579.27,NA,386455.91,956179.81,165650.14
C12 PARENT,TG(16:0_18:1_20:1),C57H109O6N,752423424,1208869376,465526880,757360320,636681792,NA,285989760,1192585088,401615584,516287328,NA,472695840,558250176,454627680
C13-label-1,TG(16:0_18:1_20:1),C57H109O6N,487668128,783471424,309196480,489293216,407864928,NA,191282384,779448128,263286800,338436832,NA,310319456,370146656,298499456
C13-label-10,TG(16:0_18:1_20:1),C57H109O6N,0,65980.01,0,0,0,NA,0,0,0,0,NA,0,0,0
C13-label-2,TG(16:0_18:1_20:1),C57H109O6N,178541424,289887872,117885288,194877488,161360688,NA,71670920,312874176,103129792,143597392,NA,132765336,161520720,125202816
C13-label-3,TG(16:0_18:1_20:1),C57H109O6N,44903132,68290608,32534624,56105708,41313828,NA,19092090,83678032,25988680,41852720,NA,37576100,46986176,36931696
C13-label-4,TG(16:0_18:1_20:1),C57H109O6N,9577902,15360663,7413721.5,14969603,10624723,NA,4481043.5,23047362,7103826,11163317,NA,10487943,14500113,10105847
C13-label-5,TG(16:0_18:1_20:1),C57H109O6N,1587675.62,3865294.75,1735777.38,4476172,2758879.25,NA,871959.25,5780161.5,1773903.38,2693962.75,NA,2769502.25,4392589.5,2892251.25
C13-label-6,TG(16:0_18:1_20:1),C57H109O6N,673996.19,1391550.38,509903.88,1516721.38,772976.25,NA,185954.33,2492708.75,451297.03,976843.31,NA,1088302,1901279.62,1240489
C13-label-7,TG(16:0_18:1_20:1),C57H109O6N,154346.33,376016.09,115990,463269.84,296017.22,NA,55048.29,580913.94,168514.27,331477.34,NA,284978,666461.19,260727.38
C13-label-8,TG(16:0_18:1_20:1),C57H109O6N,55336.56,72624.53,32674.74,179030.12,140484.7,NA,34523.96,345667.72,108963,89333.49,NA,117082.02,247196.48,109690.53
C12 PARENT,TG(16:0_18:1_20:4),C57H103O6N,739883520,1095110016,642610752,1088984960,847982912,NA,442328480,1002413760,849512960,964582720,NA,865061888,980137536,862622656
C13-label-1,TG(16:0_18:1_20:4),C57H103O6N,483484128,704304640,410949280,705878144,548710656,NA,289088384,615830656,559379776,634715648,NA,573240256,655199616,572233024
C13-label-10,TG(16:0_18:1_20:4),C57H103O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,0,85368.01
C13-label-15,TG(16:0_18:1_20:4),C57H103O6N,0,142341.38,126713.51,0,0,NA,66140.42,112678.88,126960.3,106109.63,NA,137319.83,109933.51,84143.75
C13-label-16,TG(16:0_18:1_20:4),C57H103O6N,320510.91,644550.31,250960.38,193266.75,171331.77,NA,184782.86,898427.56,409430.91,472305.88,NA,491577.16,862311.19,834244.81
C13-label-17,TG(16:0_18:1_20:4),C57H103O6N,638751.31,981282.19,379020.34,923545.25,568873.44,NA,502636.53,1368147.88,1005078.81,1195432.38,NA,1335596.38,1355692.12,1177779.38
C13-label-2,TG(16:0_18:1_20:4),C57H103O6N,174327696,254336240,155470864,272092416,202603344,NA,104725512,242201600,206699952,241478288,NA,221404992,257738032,218433488
C13-label-20,TG(16:0_18:1_20:4),C57H103O6N,1505943,2139902.25,816285.25,1878664.38,1417394.12,NA,1207304.25,2633974.75,2238452.75,2592751,NA,2914107,3571687.75,2313176.75
C13-label-23,TG(16:0_18:1_20:4),C57H103O6N,0,0,0,0,0,NA,45288.29,0,0,0,NA,0,0,0
C13-label-25,TG(16:0_18:1_20:4),C57H103O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,92755.03,0
C13-label-26,TG(16:0_18:1_20:4),C57H103O6N,78656.27,135307.97,118608.37,134192.61,94054.68,NA,0,277621.72,94409.73,201196.86,NA,0,80953.93,0
C13-label-27,TG(16:0_18:1_20:4),C57H103O6N,66610.99,122913.62,63299.5,75198.27,0,NA,0,91316.38,0,69970.18,NA,0,0,0
C13-label-3,TG(16:0_18:1_20:4),C57H103O6N,38588976,55890992,34273568,71348512,49267708,NA,23983216,60473676,52734652,61667076,NA,56249988,70513320,54796244
C13-label-35,TG(16:0_18:1_20:4),C57H103O6N,0,0,0,0,0,NA,24663.8,0,0,0,NA,91721.8,0,0
C13-label-4,TG(16:0_18:1_20:4),C57H103O6N,9130798,13468444,8508636,19781682,11723339,NA,5259816,14797629,11135941,15361232,NA,13998645,21979528,13794087
C13-label-5,TG(16:0_18:1_20:4),C57H103O6N,1812048,2809187.25,2074622.88,6851088.5,3810386.25,NA,530961.94,4022815.75,2827640.75,2998246.75,NA,3945593.25,5801996,3889262.75
C13-label-6,TG(16:0_18:1_20:4),C57H103O6N,943389.69,1088929.62,384135.72,2484007.25,1344827.12,NA,261510.02,1531539.38,912052.94,994690.75,NA,1028390.5,1876358.12,1171958.62
C13-label-7,TG(16:0_18:1_20:4),C57H103O6N,233694.19,211210.81,107234.3,750972.06,523410.03,NA,65332.64,457982.16,152578.36,521664.09,NA,603171.31,1412065.38,390005.5
C13-label-8,TG(16:0_18:1_20:4),C57H103O6N,0,70398.44,0,161949.33,136846.3,NA,63370.09,149477.58,0,96475.28,NA,0,235190.19,210708.8
C13-label-9,TG(16:0_18:1_20:4),C57H103O6N,0,0,0,0,0,NA,0,0,0,0,NA,86476.9,153336.31,0
C12 PARENT,TG(16:0_18:1_22:1),C59H113O6N,126556888,239549136,55500572,161544640,124644360,NA,56708980,243133200,53678924,81671208,NA,79598472,77244136,69387496
C13-label-1,TG(16:0_18:1_22:1),C59H113O6N,84629296,158395120,36280636,106964008,84885032,NA,37344760,162001152,34089644,54814192,NA,54495940,52717120,46503124
C13-label-2,TG(16:0_18:1_22:1),C59H113O6N,33369146,61752860,15089939,46808896,35603704,NA,16644696,69067400,15388809,27074200,NA,27384126,28461670,21416588
C13-label-3,TG(16:0_18:1_22:1),C59H113O6N,8177430.5,16032656,4491749.5,15527935,11075559,NA,5194701.5,20804474,4782697.5,9303527,NA,8902297,9876795,7301910.5
C13-label-4,TG(16:0_18:1_22:1),C59H113O6N,1944050.38,3762126,1117295.62,4018780,3039684,NA,1470239,5586077.5,1382668.5,2753638.25,NA,3097156.75,3461504.75,2246843.75
C13-label-47,TG(16:0_18:1_22:1),C59H113O6N,18771.96,0,0,0,0,NA,0,0,0,0,NA,0,0,0
C13-label-5,TG(16:0_18:1_22:1),C59H113O6N,442005.53,827676.31,206212.12,1220702,721682.69,NA,397680.84,1637679.5,345356.34,718063.81,NA,824044.31,1017779.69,625564.44
C13-label-6,TG(16:0_18:1_22:1),C59H113O6N,53174.56,187467.69,58939.31,427812.34,249046.81,NA,63420.17,562374.5,75443.85,166005.42,NA,247558.08,351597.78,165865.92
C12 PARENT,TG(16:0_18:1_22:5),C59H105O6N,817013056,1254899200,577114816,1098593024,985316096,NA,399990880,1375753984,723817536,1064554752,NA,892199616,876546368,929408512
C13-label-1,TG(16:0_18:1_22:5),C59H105O6N,542250688,826590720,385851808,730887872,644283648,NA,257645360,922026944,492255328,719303936,NA,613197824,597656832,635667904
C13-label-10,TG(16:0_18:1_22:5),C59H105O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,109977.16,0
C13-label-15,TG(16:0_18:1_22:5),C59H105O6N,0,61811.33,0,0,55686.18,NA,42977.89,88404.47,0,102782.16,NA,0,101348.62,98786.38
C13-label-2,TG(16:0_18:1_22:5),C59H105O6N,217737104,322904320,150049392,293764416,253522608,NA,115345496,382732256,202639552,317249952,NA,268355200,274227968,289773920
C13-label-24,TG(16:0_18:1_22:5),C59H105O6N,68269.18,0,36276.22,0,0,NA,0,0,0,115098.63,NA,96805.15,0,116151.71
C13-label-26,TG(16:0_18:1_22:5),C59H105O6N,85674.98,0,44674.94,0,0,NA,0,0,0,0,NA,0,0,71557.82
C13-label-3,TG(16:0_18:1_22:5),C59H105O6N,59619788,90760168,43964120,85075080,68618280,NA,33218298,115663720,59256176,98174248,NA,89975488,92471456,95029600
C13-label-4,TG(16:0_18:1_22:5),C59H105O6N,13824341,20504034,10345065,23368402,16117599,NA,8760361,29228840,14999748,26805320,NA,25198176,30043230,27303888
C13-label-5,TG(16:0_18:1_22:5),C59H105O6N,3228694,4977980,2555964.25,7052350.5,4562519.5,NA,2173658.75,7008164,4021680.75,7167443.5,NA,6641685.5,8260257.5,6626690.5
C13-label-6,TG(16:0_18:1_22:5),C59H105O6N,1218836.12,1494569.12,926571.5,2031333.38,1274022,NA,566148.12,2738088,1162007.75,2062591,NA,2138344.75,3084652,2149886.75
C13-label-7,TG(16:0_18:1_22:5),C59H105O6N,235779.8,625306.44,269868.78,576906.06,418712.22,NA,154725.42,543092.12,360676.16,493695.88,NA,584664.25,1072473.5,994428
C13-label-8,TG(16:0_18:1_22:5),C59H105O6N,175482,121498.19,43760.88,113488.66,216116.7,NA,29000.43,260517.12,56791.55,193658.3,NA,212056.27,517583.03,211745.14
C13-label-9,TG(16:0_18:1_22:5),C59H105O6N,171470.52,0,48494.99,0,0,NA,0,0,88663.24,0,NA,69368.21,151861.62,0
C12 PARENT,TG(16:0_18:1_22:6),C59H103O6N,953633856,1155411328,686197760,1102294528,1229488384,NA,501375008,1361304576,997279744,1071679680,NA,1023735360,1115326592,1035665600
C13-label-1,TG(16:0_18:1_22:6),C59H103O6N,632253440,769960896,450947104,728282560,817096192,NA,340041216,923329344,677212672,729421824,NA,696770816,761873856,694987392
C13-label-15,TG(16:0_18:1_22:6),C59H103O6N,0,149604.02,43029.02,0,125804.62,NA,138086.45,178457.23,357079.28,349204.28,NA,108278.99,446948.28,242647.19
C13-label-16,TG(16:0_18:1_22:6),C59H103O6N,1742013.12,2827299,1136049.12,1480645,1257248.25,NA,1658597,3858492,2678902.25,3526792.75,NA,3611923.25,4500868.5,4261665
C13-label-17,TG(16:0_18:1_22:6),C59H103O6N,6177193.5,7172507.5,4035319.25,6213940,6952444,NA,5953534.5,9414612,9092002,11862984,NA,12188416,15361268,13207219
C13-label-18,TG(16:0_18:1_22:6),C59H103O6N,81506456,83422808,59108532,94342208,94727832,NA,82328744,140162032,123729368,169724544,NA,183135088,204771856,175810960
C13-label-19,TG(16:0_18:1_22:6),C59H103O6N,36238644,42906752,27190880,42918348,45031344,NA,40037284,62400428,59822112,82754984,NA,78615368,99411032,85138024
C13-label-2,TG(16:0_18:1_22:6),C59H103O6N,254853744,308210816,177725392,298169952,291276960,NA,142160144,379836512,274280960,306453984,NA,315015584,339591904,324567328
C13-label-20,TG(16:0_18:1_22:6),C59H103O6N,13107100,15120765,8592044,14700439,12620469,NA,15823159,21194870,19577176,26364718,NA,31002528,36423768,34297336
C13-label-21,TG(16:0_18:1_22:6),C59H103O6N,3245778.75,4116608.75,1908573.38,3003555.75,2344491.25,NA,4147953.25,6244792.5,4550499,5884061.5,NA,8423704,9441045,9438405
C13-label-22,TG(16:0_18:1_22:6),C59H103O6N,777727.94,1145834.25,488856.09,923260.75,814355.31,NA,736587.19,1704556.38,1341909.75,1507821.88,NA,2490136.75,3262342,1975240.62
C13-label-23,TG(16:0_18:1_22:6),C59H103O6N,124772.01,213757.7,63929.64,107285.27,98648.3,NA,207641.69,410998.28,132420.86,334541.97,NA,612789.81,778456.81,404065.91
C13-label-24,TG(16:0_18:1_22:6),C59H103O6N,0,0,0,0,93213.78,NA,0,0,0,0,NA,271837.12,390379.16,95026.48
C13-label-25,TG(16:0_18:1_22:6),C59H103O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,157826.16,0
C13-label-3,TG(16:0_18:1_22:6),C59H103O6N,71778544,80743752,47652172,72869928,79122968,NA,43843432,109494120,79922832,89127648,NA,92188776,106758048,103267744
C13-label-36,TG(16:0_18:1_22:6),C59H103O6N,338401.16,206078.17,446055,521957.25,430787.91,NA,669453.25,675312.69,789788.94,1001058.94,NA,953382.81,1527478.62,793932.75
C13-label-37,TG(16:0_18:1_22:6),C59H103O6N,75117.88,0,80535.49,95411.65,0,NA,177668.48,155931.42,284277.84,187431.48,NA,286933.97,331774.47,107418.1
C13-label-38,TG(16:0_18:1_22:6),C59H103O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,134731.45,0
C13-label-4,TG(16:0_18:1_22:6),C59H103O6N,16639345,19397090,10243070,18400282,17050818,NA,12081997,27431704,17869944,23421530,NA,23669738,31383042,29900664
C13-label-5,TG(16:0_18:1_22:6),C59H103O6N,4032195.25,4791668,2501706,3917776.75,4011245.75,NA,2762435.75,6064114.5,3779428,5181461.5,NA,7482637.5,8908296,7255700.5
C13-label-6,TG(16:0_18:1_22:6),C59H103O6N,1125433,1068692.12,635149.94,1581362.62,934608,NA,645653.44,2036794,1289335.75,1496586.12,NA,2008159.62,3464572,2532815.25
C13-label-7,TG(16:0_18:1_22:6),C59H103O6N,389753.34,443020.34,87537.85,493760.12,374278.34,NA,104679.51,484129.09,569711.81,178973.23,NA,1055695.5,877594.69,662478.81
C13-label-8,TG(16:0_18:1_22:6),C59H103O6N,51367.42,144770.45,72963.36,0,0,NA,31803.93,0,0,216474.11,NA,259310,430685.41,103737.59
C12 PARENT,TG(16:0_18:1_22:6) (1),C59H103O6N,1962234368,2441789696,1167519872,1830205824,1546123264,NA,1172189568,2578089216,1986715648,2384278016,NA,2748210944,2582344192,2534401792
C13-label-1,TG(16:0_18:1_22:6) (1),C59H103O6N,1316444160,1652175488,784311104,1231394176,1022751744,NA,810353984,1743767680,1351134464,1598096256,NA,1891367808,1766475264,1752776192
C13-label-16,TG(16:0_18:1_22:6) (1),C59H103O6N,210707.67,0,228579.5,246486.92,176732.14,NA,321370.66,348176.34,347214.91,451572.41,NA,0,213859.12,308003.75
C13-label-17,TG(16:0_18:1_22:6) (1),C59H103O6N,0,0,255564.75,597064.25,0,NA,403871.91,302755.91,244029.25,911593.94,NA,616715.31,1796577.38,514360.41
C13-label-2,TG(16:0_18:1_22:6) (1),C59H103O6N,482453344,609331584,292896224,457636256,373754368,NA,312142112,668136384,509655648,628943552,NA,731968000,701111872,690813888
C13-label-20,TG(16:0_18:1_22:6) (1),C59H103O6N,99916.62,0,504498.12,177042,0,NA,365888.88,0,243774.95,550463.12,NA,398075.53,779184.94,317542.31
C13-label-21,TG(16:0_18:1_22:6) (1),C59H103O6N,206581.98,0,321318.47,1363508.38,1151077.62,NA,1393713.38,825882.31,952390.5,755556.75,NA,0,2690158.75,372108.88
C13-label-22,TG(16:0_18:1_22:6) (1),C59H103O6N,0,0,0,0,496035.66,NA,294432.31,0,273065.34,0,NA,0,273217.97,264994.12
C13-label-23,TG(16:0_18:1_22:6) (1),C59H103O6N,0,0,0,0,0,NA,0,0,127165.48,0,NA,0,0,0
C13-label-3,TG(16:0_18:1_22:6) (1),C59H103O6N,112885496,157223424,81917912,134657616,108654296,NA,89284840,185623856,132586952,161719552,NA,214869584,219126096,206481136
C13-label-4,TG(16:0_18:1_22:6) (1),C59H103O6N,29361936,39434860,21919986,37982956,26807418,NA,22255254,56492868,30696646,45632812,NA,50886528,64699468,54496084
C13-label-5,TG(16:0_18:1_22:6) (1),C59H103O6N,7963253.5,11237459,6329558,10306484,9566177,NA,5907919.5,14285028,7611496,13131333,NA,15915360,22293778,16675808
C13-label-6,TG(16:0_18:1_22:6) (1),C59H103O6N,2251499.25,3103558.25,1747558.38,3585333.25,2423205,NA,1701762.38,4829782,2492036.75,4519920.5,NA,6403297.5,9538478,6753150.5
C13-label-7,TG(16:0_18:1_22:6) (1),C59H103O6N,1196960.88,1252896.38,407626.91,805493.5,528610.5,NA,574456.69,1177513.38,1035033.5,1035121.94,NA,1760124.62,3252829.25,2636197.25
C13-label-8,TG(16:0_18:1_22:6) (1),C59H103O6N,245016.12,112638.43,110409.74,145692.19,85554.37,NA,186059.12,857425.31,531449.31,389158.09,NA,447766.12,1872620.5,570952
C13-label-9,TG(16:0_18:1_22:6) (1),C59H103O6N,0,0,0,47690.45,0,NA,0,0,0,0,NA,146015.95,0,184785.44
C12 PARENT,TG(16:0_19:0_18:1),C56H109O6N,12548987,18247478,6043972.5,14433599,12148640,NA,6849430,19767088,8930204,9832005,NA,10049409,11701496,10601086
C13-label-1,TG(16:0_19:0_18:1),C56H109O6N,7927588,11400611,3853230.25,8660466,7404824,NA,4231576,12582772,5518820,4402564,NA,6283529.5,7772014.5,7039096
C13-label-17,TG(16:0_19:0_18:1),C56H109O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,18093.68,0
C13-label-19,TG(16:0_19:0_18:1),C56H109O6N,46698.12,58555.49,44578.51,63203,64232.75,NA,33211.08,79334.05,89295.21,37597.04,NA,135493.95,177960.5,133872.31
C13-label-2,TG(16:0_19:0_18:1),C56H109O6N,2477107.5,3796634,610488.06,3267785.25,2572149,NA,1371186,4256465,2012136.5,842191.31,NA,2265972,2828554.75,2373118.25
C13-label-20,TG(16:0_19:0_18:1),C56H109O6N,0,14934.54,0,7445.8,24452.53,NA,22476.8,36183.14,27203.45,21772.21,NA,33176.94,68491,32678.8
C13-label-23,TG(16:0_19:0_18:1),C56H109O6N,0,0,0,0,0,NA,0,0,0,0,NA,11985.56,17840.84,0
C13-label-29,TG(16:0_19:0_18:1),C56H109O6N,0,0,0,0,0,NA,0,8653.94,0,0,NA,0,0,0
C13-label-3,TG(16:0_19:0_18:1),C56H109O6N,597335.81,851294.25,387544.66,829348.5,620238.81,NA,352773.09,1098189.62,487229.38,457282.84,NA,630931.38,819747,603942
C13-label-4,TG(16:0_19:0_18:1),C56H109O6N,130190.7,148905.5,82026.09,247911.86,155763.98,NA,25865.26,281297,87759.7,156645.69,NA,158112,225956.02,122840.12
C13-label-5,TG(16:0_19:0_18:1),C56H109O6N,23022.48,14137.9,18537.14,61065.64,45173.45,NA,20074.7,64732,13091.53,35092.23,NA,40454.39,73039.9,10431.69
C13-label-6,TG(16:0_19:0_18:1),C56H109O6N,0,7796.23,0,7284.03,0,NA,0,6307.65,0,6990.62,NA,5284.8,22807.43,0
C13-label-7,TG(16:0_19:0_18:1),C56H109O6N,4228.55,0,0,10444.6,7950.39,NA,0,4938.71,0,0,NA,0,0,0
C12 PARENT,TG(16:0_19:1_21:1),C59H113O6N,8882987,12013569,5487748,8731968,6858512,NA,3191250,13152477,6254984.5,10446447,NA,9926119,7797060,9810135
C13-label-1,TG(16:0_19:1_21:1),C59H113O6N,4920353.5,9263068,4599929,6111466,3562578,NA,2161271.75,8068767.5,3561979.25,6192940,NA,6130536,5161896,5497209.5
C13-label-19,TG(16:0_19:1_21:1),C59H113O6N,439868.16,0,0,227588.94,0,NA,86250.13,0,0,244544.27,NA,202369.67,0,245602.7
C13-label-2,TG(16:0_19:1_21:1),C59H113O6N,1015078.5,3078649.25,1261704.88,2702747,1721607,NA,886857.56,3779962,1298253.5,2313545,NA,2191827.25,1863408.12,2035827.62
C13-label-3,TG(16:0_19:1_21:1),C59H113O6N,120790.62,371974.22,191659.77,339933.22,243465.52,NA,246186.33,1028977,192475,654064.06,NA,359887.78,485372.16,491813.91
C13-label-4,TG(16:0_19:1_21:1),C59H113O6N,0,0,110493.88,245115.83,99025.4,NA,0,142184.69,0,0,NA,0,176206.81,0
C12 PARENT,TG(16:0_20:0_18:1),C57H111O6N,138195168,214335552,61480076,177770256,124619000,NA,74813072,222216832,74573536,94744904,NA,108806168,101701160,101212856
C13-label-1,TG(16:0_20:0_18:1),C57H111O6N,89297416,136921760,38208524,116025480,87293032,NA,49695900,146182928,47735312,62680176,NA,70828104,65716688,67026956
C13-label-18,TG(16:0_20:0_18:1),C57H111O6N,0,28263.9,0,46130.03,19571.88,NA,11929.66,105168.16,23039.53,12865.97,NA,32384.41,48842.97,43653.63
C13-label-19,TG(16:0_20:0_18:1),C57H111O6N,0,27275.76,0,0,38163.07,NA,32209.78,0,0,16537.4,NA,39145.55,0,0
C13-label-2,TG(16:0_20:0_18:1),C57H111O6N,31744752,51578388,15111088,50118692,33094978,NA,19705762,59666452,19366224,28603808,NA,33156240,31617042,28906666
C13-label-20,TG(16:0_20:0_18:1),C57H111O6N,0,0,0,0,0,NA,0,0,0,0,NA,15066.02,10836.76,0
C13-label-24,TG(16:0_20:0_18:1),C57H111O6N,0,0,0,0,0,NA,15338.23,0,0,0,NA,0,0,0
C13-label-27,TG(16:0_20:0_18:1),C57H111O6N,0,0,10940.93,0,0,NA,0,0,0,0,NA,0,0,0
C13-label-3,TG(16:0_20:0_18:1),C57H111O6N,7503720,12589697,3938618,15510115,9817384,NA,5234421.5,16666573,5620749.5,8382232,NA,10276136,9906171,8837285
C13-label-4,TG(16:0_20:0_18:1),C57H111O6N,1774822.5,3025919.25,905311.25,4882172.5,2841707,NA,1342711.75,5201430.5,1442091.62,2768590.25,NA,3495565.75,3673932,2659284
C13-label-49,TG(16:0_20:0_18:1),C57H111O6N,0,24532.05,0,0,0,NA,0,0,7488.06,0,NA,20422.63,0,0
C13-label-5,TG(16:0_20:0_18:1),C57H111O6N,493784.28,727846.25,239232.86,1412536.88,803771.81,NA,412126.09,1500795.88,379361.16,727002.31,NA,997300,1061447,861619.56
C13-label-55,TG(16:0_20:0_18:1),C57H111O6N,0,0,11852.36,0,0,NA,0,0,0,0,NA,0,0,0
C13-label-56,TG(16:0_20:0_18:1),C57H111O6N,13384.38,0,0,0,0,NA,0,0,0,0,NA,0,0,0
C13-label-6,TG(16:0_20:0_18:1),C57H111O6N,204824.55,285438.78,57031.32,572542.88,332442.69,NA,148110.7,535503.19,140315.92,255841.5,NA,435265.5,541467.06,376783
C13-label-7,TG(16:0_20:0_18:1),C57H111O6N,54530.75,43188.71,19681.58,160912.64,75140.34,NA,42871.97,131072,31038.38,90279.1,NA,80919.88,120092.28,129135.27
C13-label-8,TG(16:0_20:0_18:1),C57H111O6N,0,21398.71,0,87060.66,21750.62,NA,0,31847.74,10787.62,39228.5,NA,32153.31,44459.11,48778.27
C12 PARENT,TG(16:0_20:0_22:6),C61H109O6N,12376908,17157148,24470086,50584244,45643060,NA,24452038,27009982,44500688,57097712,NA,68552280,83439912,56005684
C13-label-1,TG(16:0_20:0_22:6),C61H109O6N,8408679,12044404,14682760,34779824,31135646,NA,17126594,18259928,30793312,38953692,NA,48017180,58473616,39688156
C13-label-2,TG(16:0_20:0_22:6),C61H109O6N,1066950.88,4327401.5,0,14285232,11616283,NA,4226758.5,7280720,12030159,5628236,NA,21180174,26275298,7009230
C13-label-25,TG(16:0_20:0_22:6),C61H109O6N,0,0,0,0,0,NA,15628.72,0,0,0,NA,0,0,0
C13-label-3,TG(16:0_20:0_22:6),C61H109O6N,0,1403415.62,0,5861100.5,2000932.88,NA,1463674.12,3030457.75,4472969.5,0,NA,8876469,9118005,0
C13-label-35,TG(16:0_20:0_22:6),C61H109O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,0,23307.79
C13-label-4,TG(16:0_20:0_22:6),C61H109O6N,291806.16,839229.25,0,2853154,2790855.25,NA,1443312.5,1239916.25,1908405,849011.44,NA,3037695.25,3315306.75,675869.06
C13-label-5,TG(16:0_20:0_22:6),C61H109O6N,220461.92,791075.19,152561.7,945645.19,984740.31,NA,658308.56,386127.84,633395.38,357344,NA,931571.19,1038776.75,513924.16
C13-label-6,TG(16:0_20:0_22:6),C61H109O6N,126712.9,90966.48,64034.96,202275.05,191356.38,NA,129942.56,151673.39,171191.47,216361.83,NA,326192.41,374690.34,246439
C13-label-7,TG(16:0_20:0_22:6),C61H109O6N,0,0,0,35008.35,0,NA,13634.77,0,60870.14,65744.86,NA,105865.03,124749.54,55193.92
C12 PARENT,TG(16:0_20:4_22:6),C61H101O6N,72598784,80254968,113879208,155785312,191940096,NA,75172072,93891776,274512192,272055648,NA,199033008,297301408,167903312
C13-label-1,TG(16:0_20:4_22:6),C61H101O6N,49182532,54749440,76754568,106389920,128854632,NA,51538704,62775500,192484560,183165504,NA,139505920,207029040,120770376
C13-label-15,TG(16:0_20:4_22:6),C61H101O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,93204.59,0
C13-label-16,TG(16:0_20:4_22:6),C61H101O6N,0,0,57775.08,0,0,NA,0,0,0,0,NA,0,94398.38,0
C13-label-17,TG(16:0_20:4_22:6),C61H101O6N,124520.98,0,0,0,64205.09,NA,44691.68,156616.67,268886.75,91930.85,NA,0,182462.52,120223.82
C13-label-18,TG(16:0_20:4_22:6),C61H101O6N,735013.94,1040222,675158,812153.44,639326.25,NA,990867.06,1402949.88,2172686,2558072.25,NA,1899866.88,3730091.25,1915591.38
C13-label-19,TG(16:0_20:4_22:6),C61H101O6N,187571.48,210560.31,361951.41,304684.75,490462.78,NA,573896.38,361849.03,1059101.5,1164045.5,NA,1019621.5,1839151.62,898157.31
C13-label-2,TG(16:0_20:4_22:6),C61H101O6N,17959230,17785454,29683248,38513984,47569684,NA,18660106,24077302,70161600,67901840,NA,53509684,80565064,45326044
C13-label-3,TG(16:0_20:4_22:6),C61H101O6N,8430743,8004296,10049695,13579044,13565099,NA,8093423.5,6297568.5,20473806,19492638,NA,15813844,20876426,14363133
