isotopeLabel,compound,formula,M,H,L,N,I,G,E,F,J,K,C,A,B,D
C13-label-18,TG(14:0_16:0_22:6),C55H97O6N,72641.8,333696.72,76588.15,213262.31,131603.7,NA,223577.42,229249.44,292039.5,190927.94,NA,369673.88,343687.25,451703.25
C13-label-19,TG(14:0_16:0_22:6),C55H97O6N,0,0,0,0,0,NA,0,0,107296.78,86688.66,NA,110585.93,100735.62,96521.5
C13-label-2,TG(14:0_16:0_22:6),C55H97O6N,819948.44,1452191,0,125049.49,713281.19,NA,809720.75,2198129.25,850840.81,727473.5,NA,1841236.38,2547978.25,1059894.38
C13-label-22,TG(14:0_16:0_22:6),C55H97O6N,0,0,0,0,44908.12,NA,61154.79,0,0,0,NA,0,0,0
C13-label-28,TG(14:0_16:0_22:6),C55H97O6N,282594.66,344019.41,116279.91,121001.82,167739.31,NA,0,572531.5,164795.69,82904.27,NA,0,0,123892.41
C13-label-3,TG(14:0_16:0_22:6),C55H97O6N,0,701414,348154.25,615124.88,356825.66,NA,328784.72,0,0,226354.89,NA,639237.19,608134.12,437821.78
C13-label-46,TG(14:0_16:0_22:6),C55H97O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,0,279377.78
C13-label-47,TG(14:0_16:0_22:6),C55H97O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,0,104595.12
C13-label-6,TG(14:0_16:0_22:6),C55H97O6N,0,115378.68,71065.63,116759.15,113205.66,NA,116711.79,0,120933.9,0,NA,78392.77,223074.86,158664.69
C13-label-7,TG(14:0_16:0_22:6),C55H97O6N,0,0,51348.12,0,0,NA,0,0,0,0,NA,0,93988.59,0
C12 PARENT,TG(16:0_16:0_18:0),C53H105O6N,45597696,65720652,55389916,65305508,58752480,NA,66278416,63389696,67452088,59798100,NA,76695840,65218764,92750360
C13-label-1,TG(16:0_16:0_18:0),C53H105O6N,27611312,36902736,32706198,37510676,33972188,NA,38295276,37153584,40630956,31901590,NA,45224764,38946428,53432492
C13-label-2,TG(16:0_16:0_18:0),C53H105O6N,7632517.5,10641387,9370171,12297688,10314213,NA,11401875,11796984,10915328,9807983,NA,13950397,11612759,16490845
C13-label-26,TG(16:0_16:0_18:0),C53H105O6N,0,0,52395.59,79004.08,44723.38,NA,33722.45,0,0,0,NA,6266.62,0,115935.77
C13-label-27,TG(16:0_16:0_18:0),C53H105O6N,57088.22,0,0,0,0,NA,22092.05,0,6962.45,0,NA,67753.18,0,45712.24
C13-label-3,TG(16:0_16:0_18:0),C53H105O6N,1637379.88,2425734.25,2062085.38,2496459.25,2347437.25,NA,1972154.5,2543508.25,2235138.25,2099084.25,NA,3114052.75,2633925.75,4049650
