Time difference of 9.764995 hours
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinA
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13CLinoKinA
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13CLinoKinA
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13CLinoKinB
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CHB
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinA
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinA
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinA
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CAla
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13CLinoKinD
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CGln
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CAla
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CGln
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CGln
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CGln
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CGln
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CHB
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinA
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13CLinoKinB
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13CLinoKinB
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13CLinoKinC
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CLinoKinA
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CGln
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13CLinoKinE
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CGln
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CHB
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CHB
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CHB
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CHB
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CHB
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinB
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13CLinoKinC
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinA
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13CLinoKinC
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13CLinoKinD
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CLinoKinB
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13CLinoKinF
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CHB
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinA
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CHB
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinA
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CLinoKinA
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinA
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinA
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinC
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13CLinoKinD
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13CLinoKinD
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13CLinoKinE
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CLinoKinC
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13CLinoKinG
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinA
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CLinoKinB
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CLinoKinA
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinD
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13CLinoKinE
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13CLinoKinE
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13CLinoKinF
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CLinoKinD
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13CLinoKinH
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinB
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CLinoKinC
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CLinoKinB
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinE
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13CLinoKinF
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13CLinoKinF
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13CLinoKinG
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CLinoKinE
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13CLinoKinI
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinC
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CLinoKinD
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CLinoKinC
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13CLinoKinG
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13CLinoKinG
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13CLinoKinH
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CLinoKinF
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13CLinoKinJ
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinD
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CLinoKinE
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CLinoKinD
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13CLinoKinH
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinG
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13CLinoKinH
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13CLinoKinI
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CLinoKinG
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13ChpAAb
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinE
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CLinoKinF
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CLinoKinE
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13CLinoKinI
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinH
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13CLinoKinI
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13CLinoKinJ
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CLinoKinH
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13ChpAAc
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinF
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CLinoKinG
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CLinoKinF
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13CLinoKinJ
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13CLinoKinJ
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13ChpAAb
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CLinoKinI
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13ChpAAd
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinG
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CLinoKinH
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CLinoKinG
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13ChpAAb
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13ChpAAb
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13ChpAAc
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13CLinoKinJ
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13ChpAAe
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinH
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CLinoKinI
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CLinoKinH
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13ChpAAc
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13ChpAAb
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13ChpAAd
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13ChpAAc
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13ChpAAb
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13ChpAAf
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13ChpAAf
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinI
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13CLinoKinJ
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CLinoKinI
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13ChpAAd
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13ChpAAe
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13ChpAAd
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13ChpAAc
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13ChpAAj
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13ChpAAj
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13CLinoKinJ
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13ChpAAb
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13CLinoKinJ
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13ChpAAe
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13ChpAAd
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13ChpAAe
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13ChpAAf
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13ChpAAd
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13ChpAAk
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13ChpAAk
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13ChpAAb
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13ChpAAc
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13ChpAAb
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13ChpAAf
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13ChpAAj
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13ChpAAf
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13ChpAAe
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13ChpAAj
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #54; stage UB; binary index 3; optim.step 4; tracer 13ChpAAl
reaction #22; stage LB; binary index 2; optim.step 1; tracer 13ChpAAl
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13ChpAAc
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13ChpAAd
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13ChpAAc
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13ChpAAj
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13ChpAAj
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13ChpAAk
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13ChpAAj
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13ChpAAf
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13ChpAAj
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13ChpAAk
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13ChpAAj
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13ChpAAj
reaction #54; stage UB; binary index 3; optim.step 5; tracer 13CGlc
reaction #22; stage LB; binary index 2; optim.step 2; tracer 13CGlc
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13ChpAAd
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13ChpAAe
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13ChpAAd
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13ChpAAk
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13ChpAAk
reaction #6; stage UB; binary index 3; optim.step 5; tracer 13ChpAAl
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13ChpAAk
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13ChpAAj
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13ChpAAk
reaction #60; stage LB; binary index 4; optim.step 4; tracer 13ChpAAl
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13ChpAAk
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13ChpAAk
reaction #54; stage UB; binary index 3; optim.step 5; tracer 13CLac
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13ChpAAe
reaction #22; stage LB; binary index 2; optim.step 2; tracer 13CLac
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13ChpAAf
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13ChpAAe
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #13; stage UB; binary index 4; optim.step 4; tracer 13ChpAAl
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13ChpAAj
# A tibble: 1 × 3
  flux.index flux.value  cost
       <dbl>      <dbl> <dbl>
1          6       289. 0.124
reaction #6; stage UB; binary index 4
h =  86.6
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #6; stage UB; binary index 4; optim.step 1; tracer 13CGlc
reaction #73; stage LB; binary index 4; optim.step 2; tracer 13ChpAAl
reaction #25; stage UB; binary index 2; optim.step 3; tracer 13ChpAAl
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13ChpAAk
reaction #92; stage UB; binary index 4; optim.step 4; tracer 13ChpAAl
reaction #60; stage LB; binary index 4; optim.step 5; tracer 13CGlc
reaction #9; stage UB; binary index 4; optim.step 4; tracer 13ChpAAl
reaction #58; stage UB; binary index 4; optim.step 4; tracer 13ChpAAl
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13ChpAAf
reaction #54; stage UB; binary index 3; optim.step 5; tracer 13CGlycerol
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13ChpAAj
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13ChpAAj
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13ChpAAj
reaction #22; stage LB; binary index 2; optim.step 2; tracer 13CGlycerol
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13ChpAAf
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13ChpAAj
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13ChpAAj
reaction #13; stage UB; binary index 4; optim.step 5; tracer 13CGlc
reaction #85; stage LB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13ChpAAk
reaction #73; stage LB; binary index 4; optim.step 3; tracer 13CGlc
reaction #25; stage UB; binary index 2; optim.step 4; tracer 13CGlc
reaction #6; stage UB; binary index 4; optim.step 1; tracer 13CLac
reaction #28; stage UB; binary index 4; optim.step 1; tracer 13ChpAAl
reaction #92; stage UB; binary index 4; optim.step 5; tracer 13CGlc
reaction #9; stage UB; binary index 4; optim.step 5; tracer 13CGlc
reaction #58; stage UB; binary index 4; optim.step 5; tracer 13CGlc
reaction #60; stage LB; binary index 4; optim.step 5; tracer 13CLac
reaction #62; stage UB; binary index 4; optim.step 4; tracer 13ChpAAj
reaction #51; stage UB; binary index 4; optim.step 4; tracer 13ChpAAk
reaction #54; stage UB; binary index 3; optim.step 5; tracer 13CAla
reaction #79; stage UB; binary index 3; optim.step 3; tracer 13ChpAAk
reaction #89; stage UB; binary index 4; optim.step 4; tracer 13ChpAAk
reaction #84; stage UB; binary index 4; optim.step 4; tracer 13ChpAAk
reaction #22; stage LB; binary index 2; optim.step 2; tracer 13CAla
reaction #11; stage LB; binary index 5; optim.step 3; tracer 13ChpAAj
reaction #19; stage UB; binary index 4; optim.step 4; tracer 13ChpAAk
reaction #85; stage LB; binary index 8; optim.step 2; tracer 13CGlc
reaction #67; stage UB; binary index 4; optim.step 4; tracer 13ChpAAl
reaction #13; stage UB; binary index 4; optim.step 5; tracer 13CLac
reaction #25; stage UB; binary index 2; optim.step 4; tracer 13CLac
reaction #73; stage LB; binary index 4; optim.step 3; tracer 13CLac
