Time difference of 9.764995 hours
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #89; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #60; stage LB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAb
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #5; stage LB; binary index 8; optim.step 3; tracer 13ChpAAb
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinI
reaction #85; stage LB; binary index 4; optim.step 3; tracer 13ChpAAb
reaction #19; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #73; stage UB; binary index 7; optim.step 4; tracer 13ChpAAc
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #22; stage UB; binary index 5; optim.step 3; tracer 13ChpAAe
reaction #23; stage LB; binary index 6; optim.step 5; tracer 13ChpAAb
reaction #75; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinJ
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAb
reaction #53; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #92; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #69; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #89; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #60; stage LB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #5; stage LB; binary index 8; optim.step 3; tracer 13ChpAAc
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinJ
reaction #85; stage LB; binary index 4; optim.step 3; tracer 13ChpAAc
reaction #19; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #73; stage UB; binary index 7; optim.step 4; tracer 13ChpAAd
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #22; stage UB; binary index 5; optim.step 3; tracer 13ChpAAf
reaction #23; stage LB; binary index 6; optim.step 5; tracer 13ChpAAc
reaction #75; stage LB; binary index 8; optim.step 2; tracer 13ChpAAb
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #53; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #92; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #69; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #89; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAd
reaction #60; stage LB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #5; stage LB; binary index 8; optim.step 3; tracer 13ChpAAd
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAb
reaction #85; stage LB; binary index 4; optim.step 3; tracer 13ChpAAd
reaction #19; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #73; stage UB; binary index 7; optim.step 4; tracer 13ChpAAe
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #22; stage UB; binary index 5; optim.step 3; tracer 13ChpAAj
reaction #23; stage LB; binary index 6; optim.step 5; tracer 13ChpAAd
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAd
reaction #75; stage LB; binary index 8; optim.step 2; tracer 13ChpAAc
reaction #53; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #92; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #69; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #89; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #60; stage LB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #5; stage LB; binary index 8; optim.step 3; tracer 13ChpAAe
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAc
reaction #85; stage LB; binary index 4; optim.step 3; tracer 13ChpAAe
reaction #19; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #73; stage UB; binary index 7; optim.step 4; tracer 13ChpAAf
reaction #22; stage UB; binary index 5; optim.step 3; tracer 13ChpAAk
reaction #23; stage LB; binary index 6; optim.step 5; tracer 13ChpAAe
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #75; stage LB; binary index 8; optim.step 2; tracer 13ChpAAd
reaction #53; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #92; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #69; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #89; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #60; stage LB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #5; stage LB; binary index 8; optim.step 3; tracer 13ChpAAf
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAd
reaction #85; stage LB; binary index 4; optim.step 3; tracer 13ChpAAf
reaction #19; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #73; stage UB; binary index 7; optim.step 4; tracer 13ChpAAj
reaction #22; stage UB; binary index 5; optim.step 3; tracer 13ChpAAl
reaction #23; stage LB; binary index 6; optim.step 5; tracer 13ChpAAf
reaction #75; stage LB; binary index 8; optim.step 2; tracer 13ChpAAe
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #53; stage UB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #92; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #69; stage UB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #89; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #60; stage LB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #5; stage LB; binary index 8; optim.step 3; tracer 13ChpAAj
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAe
reaction #85; stage LB; binary index 4; optim.step 3; tracer 13ChpAAj
reaction #19; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #73; stage UB; binary index 7; optim.step 4; tracer 13ChpAAk
reaction #22; stage UB; binary index 5; optim.step 4; tracer 13CGlc
reaction #23; stage LB; binary index 6; optim.step 5; tracer 13ChpAAj
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #75; stage LB; binary index 8; optim.step 2; tracer 13ChpAAf
reaction #53; stage UB; binary index 8; optim.step 2; tracer 13CGlc
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #92; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #69; stage UB; binary index 8; optim.step 2; tracer 13CGlc
reaction #89; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #60; stage LB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #5; stage LB; binary index 8; optim.step 3; tracer 13ChpAAk
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAf
reaction #85; stage LB; binary index 4; optim.step 3; tracer 13ChpAAk
reaction #19; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #73; stage UB; binary index 7; optim.step 4; tracer 13ChpAAl
reaction #22; stage UB; binary index 5; optim.step 4; tracer 13CLac
reaction #23; stage LB; binary index 6; optim.step 5; tracer 13ChpAAk
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #75; stage LB; binary index 8; optim.step 2; tracer 13ChpAAj
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #53; stage UB; binary index 8; optim.step 2; tracer 13CLac
reaction #92; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #89; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #60; stage LB; binary index 1; optim.step 2; tracer 13CGlc
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #69; stage UB; binary index 8; optim.step 2; tracer 13CLac
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #5; stage LB; binary index 8; optim.step 3; tracer 13ChpAAl
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAj
reaction #85; stage LB; binary index 4; optim.step 3; tracer 13ChpAAl
reaction #19; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #73; stage UB; binary index 7; optim.step 5; tracer 13CGlc
reaction #23; stage LB; binary index 6; optim.step 5; tracer 13ChpAAl
reaction #22; stage UB; binary index 5; optim.step 4; tracer 13CGlycerol
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #75; stage LB; binary index 8; optim.step 2; tracer 13ChpAAk
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #92; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #53; stage UB; binary index 8; optim.step 2; tracer 13CGlycerol
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #89; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #65; stage UB; binary index 8; optim.step 2; tracer 13CGlc
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #60; stage LB; binary index 1; optim.step 2; tracer 13CLac
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #69; stage UB; binary index 8; optim.step 2; tracer 13CGlycerol
reaction #13; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #5; stage LB; binary index 8; optim.step 4; tracer 13CGlc
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAk
reaction #85; stage LB; binary index 4; optim.step 4; tracer 13CGlc
reaction #19; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #28; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #73; stage UB; binary index 7; optim.step 5; tracer 13CLac
# A tibble: 1 × 3
  flux.index flux.value  cost
       <dbl>      <dbl> <dbl>
1         23       470. 0.124
reaction #23; stage LB; binary index 7
h =  -1101.02
reaction #23; stage LB; binary index 7; optim.step 1; tracer 13CGlc
reaction #22; stage UB; binary index 5; optim.step 4; tracer 13CAla
reaction #56; stage UB; binary index 8; optim.step 2; tracer 13CGlc
reaction #75; stage LB; binary index 8; optim.step 2; tracer 13ChpAAl
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #92; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #53; stage UB; binary index 8; optim.step 2; tracer 13CAla
reaction #89; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #58; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #9; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #65; stage UB; binary index 8; optim.step 2; tracer 13CLac
reaction #60; stage LB; binary index 1; optim.step 2; tracer 13CGlycerol
reaction #69; stage UB; binary index 8; optim.step 2; tracer 13CAla
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAl
reaction #5; stage LB; binary index 8; optim.step 4; tracer 13CLac
reaction #13; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #19; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #85; stage LB; binary index 4; optim.step 4; tracer 13CLac
reaction #28; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #73; stage UB; binary index 7; optim.step 5; tracer 13CGlycerol
reaction #23; stage LB; binary index 7; optim.step 1; tracer 13CLac
reaction #22; stage UB; binary index 5; optim.step 4; tracer 13CGln
reaction #75; stage LB; binary index 8; optim.step 3; tracer 13CGlc
reaction #56; stage UB; binary index 8; optim.step 2; tracer 13CLac
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #92; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #62; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #53; stage UB; binary index 8; optim.step 2; tracer 13CGln
reaction #89; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #51; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #58; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #69; stage UB; binary index 8; optim.step 2; tracer 13CGln
reaction #9; stage UB; binary index 1; optim.step 2; tracer 13CLac
reaction #65; stage UB; binary index 8; optim.step 2; tracer 13CGlycerol
reaction #60; stage LB; binary index 1; optim.step 2; tracer 13CAla
# A tibble: 1 × 3
  flux.index flux.value  cost
       <dbl>      <dbl> <dbl>
1         11       28.1 0.124
reaction #11; stage LB; binary index 2
h =  -14.07
reaction #11; stage LB; binary index 2; optim.step 1; tracer 13CGlc
