compound,formula,id,sample,treatment,C12 PARENT,D2-label-2,D2-label-3,D2-label-4,D2-label-5
C18:0,C18H36O2,s21,L6,TdT,3298080768,14904421,4801293.5,1880456,617284.56
C18:0,C18H36O2,s22,L6,DP,2728968448,9504026,3386407,1336009.88,591520.56
C18:0,C18H36O2,s23,L7,GFP,2267664128,4395185.5,1715938.38,526397.44,159810.23
C18:0,C18H36O2,s24,L7,TdT,2442456832,8096121.5,3779162,1328860.5,428156.88
C18:0,C18H36O2,s25,L7,after,3466363904,11844369,3981348,1147078.5,473435.09
C18:0,C18H36O2,s26,L8,after,5175520768,26166592,10834771,4300958,1482144.38
C18:0,C18H36O2,s27,L8,DP,2542365440,10519707,4393086.5,1726232.12,556099.06
C18:0,C18H36O2,s28,L8,TdT,3240413952,15188779,5630960.5,1801843,799647.81
C18:0,C18H36O2,s29,L8,GFP,3902790912,17957528,9266068,2886167,856851.75
C18:0,C18H36O2,s30,L9,after,5794362880,18232092,5930300,2735585.75,826597.56
C18:0,C18H36O2,s31,L9,TdT,3010874368,6629941.5,2791588.5,1171337.62,237635.3
C18:0,C18H36O2,s32,L9,GFP,2202642432,6469536.5,2851618.25,906348.06,333481.41
