Time difference of 6.203875 hours
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinD
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinD
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13CLinoKinG
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinB
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13CLinoKinD
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 2; optim.step 1; tracer 13CLac
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinB
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
# A tibble: 1 × 3
  flux.index           flux.value  cost
  <chr>                     <dbl> <dbl>
1 55+56+57+58+59+60+61       37.6 0.149
sum of 7 fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 2
h =  -18.82
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 2; optim.step 1; tracer 13CGlc
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinF
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinB
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinE
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinE
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13CLinoKinH
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinC
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinC
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 2; optim.step 1; tracer 13CGlycerol
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinG
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 2; optim.step 1; tracer 13CLac
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinC
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinF
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinF
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13CLinoKinI
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 2; optim.step 1; tracer 13CAla
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13CLinoKinH
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 2; optim.step 1; tracer 13CGlycerol
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinG
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinG
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13CLinoKinJ
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
