Time difference of 11.69235 hours
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinJ
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinH
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpAAc
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinG
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinE
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinD
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinJ
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpAAb
