"","compound","formula","rt"
"101","TG(19:0_18:1_19:1)","C59H113O6N",12.6601
"102","TG(18:0_22:4_22:4)","C65H113O6N",12.6818
"103","TG(18:0_18:1_18:2)","C57H107O6N",12.6825
"104","TG(18:1_20:1_18:2)","C59H109O6N",12.6974
"105","TG(17:0_19:1_19:2)","C58H109O6N",12.7342
"106","TG(18:1_18:2_22:2)","C61H111O6N",12.8255
"107","TG(18:0_18:1_22:4)","C61H111O6N",13.0667
"108","TG(16:0_20:0_22:6)","C61H109O6N",13.0986
"109","TG(19:0_18:1_20:3)","C60H111O6N",13.1013
"110","TG(19:0_18:1_18:2)","C58H109O6N",13.1325
"111","TG(18:0_18:0_20:4)","C59H109O6N",13.2105
"112","TG(24:1_18:2_20:4)","C65H115O6N",13.3807
"113","TG(16:0_18:0_18:1)","C55H107O6N",13.4233
"114","TG(16:0_22:0_22:6)","C63H113O6N",13.4285
"115","TG(16:0_16:0_18:0)","C53H105O6N",13.4372
"116","TG(18:1_18:1_20:1)","C59H111O6N",13.4455
"117","TG(20:0_18:1_20:4)","C61H111O6N",13.4527
"118","TG(18:0_20:1_20:3)","C61H113O6N",13.4825
"119","TG(16:0_18:1_20:1)","C57H109O6N",13.5098
"120","TG(20:0_18:1_18:2)","C59H111O6N",13.6364
"121","TG(20:0_18:1_18:2)","C59H111O6N",13.7527
"122","TG(18:1_22:1_20:3)","C63H115O6N",13.7573
"123","TG(18:0_18:1_18:1)","C57H109O6N",13.7746
"124","TG(16:0_19:0_18:1)","C56H109O6N",13.7799
"125","TG(18:0_18:0_22:4)","C61H113O6N",13.8102
"126","TG(21:0_18:1_18:2)","C60H113O6N",13.8337
"127","TG(16:0_18:1_22:1)","C59H113O6N",14.1661
"128","TG(16:0_20:0_18:1)","C57H111O6N",14.212
"129","TG(16:0_18:0_18:0)","C55H109O6N",14.3038
"130","TG(22:0_18:1_18:2)","C61H115O6N",14.3782
"131","TG(21:1_18:0_19:1)","C61H117O6N",14.3921
"132","TG(16:0_24:0_18:2)","C61H117O6N",14.9001
"133","TG(16:0_22:0_18:1)","C59H115O6N",14.926
"134","TG(16:0_18:0_20:0)","C57H113O6N",14.9908
"135","TG(18:0_18:0_18:0)","C57H113O6N",15.2505
"136","TG(16:0_24:0_18:2)","C61H117O6N",15.2649
